"","X2011","X2012","X2013","X2014","X2015","Full_FIPS","County_Name","State","Pop","No_HS","No_Dip","HS","No_Deg","Associates","Bachelors","Grad","Med_Age","House_Income","Total.Vote","Obama","Romney","GHI_avg.y","count"
"1",5.76,30.44,30.44,32.94,32.94,2090,"Fairbanks North Star Borough","Alaska",60737,990,2398,14240,18317,5512,11957,7323,30.4,35582,NA,NA,NA,2.5624584851767,0
"2",2.88,6.88,10.72,10.72,10.72,2170,"Matanuska-Susitna Borough","Alaska",60694,1143,3559,19183,18578,5643,8292,4296,34.6,31098,NA,NA,NA,2.5624584851767,0
"3",1.65,1.65,1.65,1.65,1.65,2240,"Southeast Fairbanks Census Area","Alaska",4450,95,255,1477,1343,483,538,259,35.8,2117,NA,NA,NA,2.5624584851767,0
"4",4.3,4.3,4.3,4.3,4.3,2290,"Yukon-Koyukuk Census Area","Alaska",3543,284,345,1420,931,167,261,135,35,1982,NA,NA,NA,2.5624584851767,0
"5",3,3,3,3,3,1013,"Butler County","Alabama",13996,1064,2038,5274,2431,1157,1173,859,40.5,8056,9502,4374,5087,4.35461538461538,0
"6",4.56,4.56,4.56,4.56,4.56,1017,"Chambers County","Alabama",23814,1487,3532,9140,5051,1845,1800,959,43,13787,14629,6871,7626,4.35461538461538,1
"7",8,8,8,8,8,1027,"Clay County","Alabama",9535,1009,1368,3460,2004,780,552,362,43.8,5419,6679,1777,4817,4.35461538461538,0
"8",2,2,2,2,2,1033,"Colbert County","Alabama",38008,1727,4409,13131,8844,2834,4299,2764,42.2,22204,23444,9166,13936,4.35461538461538,0
"9",4,4,4,4,4,1043,"Cullman County","Alabama",55773,3560,6565,19331,12247,5947,5092,3031,40.5,31287,34555,5052,28999,4.35461538461538,0
"10",8.4,8.4,8.4,8.4,8.4,1071,"Jackson County","Alabama",37190,2999,5609,14819,6147,2988,2876,1752,42.2,20431,20632,5822,14439,4.35461538461538,0
"11",5.64,5.64,5.64,5.64,5.64,1073,"Jefferson County","Alabama",444969,14336,37102,117727,104531,34251,82971,54051,37.4,260929,304523,159876,141683,4.35461538461538,3
"12",6,6,6,6,6,1077,"Lauderdale County","Alabama",62870,3138,6733,21416,14170,3703,8049,5661,41.1,38612,37032,12511,23911,4.35461538461538,0
"13",0,0,0,0,6.76,1089,"Madison County","Alabama",233276,6400,15279,49752,50606,19403,57690,34146,37.8,137767,155428,62015,90884,4.35461538461538,1
"14",3,3,3,3,3,1103,"Morgan County","Alabama",81977,5034,9073,25383,18903,6112,11783,5689,39.5,46235,49459,13439,35391,4.35461538461538,3
"15",6,6,6,6,6,1113,"Russell County","Alabama",38172,2493,4260,12000,9348,3548,4070,2453,34.8,22241,18910,10500,8278,4.35461538461538,0
"16",13.505,13.505,13.505,13.505,13.505,5005,"Baxter County","Arkansas",31405,1359,2586,11171,8216,2460,4101,1512,51.5,18164,19339,5172,13688,4.25,0
"17",52.02,52.02,52.02,52.02,52.02,5007,"Benton County","Arkansas",154240,9464,10908,47498,31343,8501,30635,15891,35,85670,79257,22636,54646,4.25,0
"18",18.8,18.8,18.8,18.8,18.8,5009,"Boone County","Arkansas",25902,1368,2315,9296,7161,1945,2421,1396,41.4,14961,15391,3772,11159,4.25,0
"19",3.04,3.04,3.04,3.04,3.04,5011,"Bradley County","Arkansas",7649,536,1031,3218,1529,342,706,287,40.6,4598,3652,1449,2134,4.25,0
"20",26.9,26.9,26.9,26.9,26.9,5015,"Carroll County","Arkansas",19373,1578,1681,6783,4965,1128,2032,1206,44.2,10977,10183,3696,6125,4.25,0
"21",1.8,1.8,1.8,1.8,1.8,5017,"Chicot County","Arkansas",7815,601,1047,3486,1485,332,624,240,43.4,4513,4361,2649,1670,4.25,0
"22",32.045,32.045,32.045,32.045,32.045,5033,"Crawford County","Arkansas",41042,2525,3417,15890,10135,3120,4165,1790,38.8,23649,20591,4881,15145,4.25,2
"23",15.3,15.3,15.3,15.3,15.3,5045,"Faulkner County","Arkansas",71977,2051,4526,22042,17504,5475,12955,7424,31.6,43204,41460,13621,26722,4.25,0
"24",5.6,5.6,5.6,5.6,5.6,5047,"Franklin County","Arkansas",12091,773,1390,4888,2564,988,962,526,40.4,6784,6540,1726,4631,4.25,0
"25",3.6,3.6,3.6,3.6,3.6,5049,"Fulton County","Arkansas",8973,430,874,3855,2327,532,654,301,48,5300,4522,1452,2949,4.25,0
"26",98.725,98.725,98.725,98.725,98.725,5051,"Garland County","Arkansas",69253,2738,5478,22301,18687,5247,9120,5682,44.1,40290,40728,13804,26014,4.25,0
"27",8.75,8.75,8.75,8.75,8.75,5053,"Grant County","Arkansas",12395,435,935,5348,2730,828,1411,708,39.6,6859,6479,1468,4829,4.25,0
"28",13.44,13.44,13.44,13.44,13.44,5057,"Hempstead County","Arkansas",14794,1251,1985,5625,3173,958,1137,665,39.1,7823,6921,2468,4284,4.25,0
"29",16.56,16.56,16.56,16.56,16.56,5063,"Independence County","Arkansas",24951,1562,2699,9697,5541,1494,2601,1357,38.7,14238,12397,3281,8728,4.25,2
"30",6.3,6.3,6.3,6.3,6.3,5071,"Johnson County","Arkansas",16978,1220,2300,6984,2937,641,1956,940,38.1,10111,8098,2799,5064,4.25,0
"31",7.61,7.61,7.61,7.61,7.61,5079,"Lincoln County","Arkansas",10087,700,1482,4841,1773,396,658,237,37.5,4040,3726,1425,2199,4.25,0
"32",4.6,4.6,4.6,4.6,4.6,5083,"Logan County","Arkansas",15203,795,1871,6640,3147,831,1500,419,42.8,8609,7331,2009,5079,4.25,0
"33",8.25,8.25,8.25,8.25,8.25,5087,"Madison County","Arkansas",10775,1008,1315,4958,1923,414,764,393,41.8,6338,6568,2099,4263,4.25,0
"34",4.4,4.4,4.4,4.4,4.4,5089,"Marion County","Arkansas",12588,419,1420,5463,2924,697,1143,522,51.3,6701,7051,2037,4774,4.25,0
"35",31.16,31.16,31.16,31.16,31.16,5101,"Newton County","Arkansas",5924,321,751,2509,1211,270,572,290,47.7,3310,3661,993,2508,4.25,0
"36",15.1,15.1,15.1,15.1,15.1,5109,"Pike County","Arkansas",7673,520,900,2728,1838,568,648,471,41.4,4355,3788,851,2847,4.25,0
"37",37.556,37.556,37.556,37.556,37.556,5113,"Polk County","Arkansas",14125,752,1350,5509,3637,1186,1096,595,43.1,7911,7726,1556,5955,4.25,0
"38",11.98,11.98,11.98,11.98,11.98,5115,"Pope County","Arkansas",39501,2512,4327,13127,9312,1978,5304,2941,35.2,22645,20439,5126,14763,4.25,1
"39",67.165,67.165,67.165,67.165,67.165,5119,"Pulaski County","Arkansas",261924,8761,18292,70661,62014,16077,54309,31810,36.4,154240,159381,87248,68984,4.25,4
"40",3.34,3.34,3.34,3.34,3.34,5125,"Saline County","Arkansas",78379,2477,6457,26536,19102,5746,12083,5978,38.7,42299,47062,12869,32963,4.25,0
"41",5.16,5.16,5.16,5.16,5.16,5129,"Searcy County","Arkansas",5842,359,696,2351,1157,466,517,296,47,3172,3694,814,2699,4.25,0
"42",29.88,29.88,29.88,29.88,29.88,5131,"Sebastian County","Arkansas",83713,6342,8581,26712,19470,6564,10956,5088,36.9,49579,43362,13092,29169,4.25,0
"43",1.84,1.84,1.84,1.84,1.84,5123,"St. Francis County","Arkansas",18682,1334,2681,7425,4076,1044,1332,790,37.5,9430,8362,4910,3368,4.25,0
"44",5,5,5,5,5,5137,"Stone County","Arkansas",9015,767,1116,3193,1955,555,860,569,48.5,5142,5354,1356,3776,4.25,0
"45",11.28,11.28,11.28,11.28,11.28,5139,"Union County","Arkansas",27648,1345,3234,10427,5868,1929,3481,1364,39.7,16536,17177,6196,10699,4.25,0
"46",24.8,24.8,24.8,24.8,24.8,5141,"Van Buren County","Arkansas",12440,799,1448,5313,2650,703,1027,500,47.1,6879,6430,1832,4365,4.25,0
"47",134.005,134.005,134.005,134.005,134.005,5143,"Washington County","Arkansas",129651,10482,10891,36125,26537,6111,23127,16378,31.2,81722,70460,28236,39688,4.25,1
"48",0.75,0.75,0.75,0.75,0.75,5145,"White County","Arkansas",50205,2880,5529,18866,9596,3553,5857,3924,36.2,29404,26514,5765,20011,4.25,0
"49",10.575,10.575,10.575,10.575,10.575,5149,"Yell County","Arkansas",14578,1711,1824,5913,2828,464,1363,475,39.1,7687,5974,1722,4042,4.25,0
"50",118.429,531.706,579.506,623.976,631.896,4003,"Cochise County","Arizona",88549,5542,6298,20721,26056,9679,12855,7398,40,48825,49201,18546,29497,5.27840659340659,0
"51",173.222,341.56,438.795,438.795,438.795,4005,"Coconino County","Arizona",79562,3563,5650,16954,19022,7635,15518,11220,30.8,46619,51962,29257,21220,5.27840659340659,0
"52",426.995,985.393,1033.573,1039.573,1049.323,4007,"Gila County","Arizona",38397,1763,4385,11522,10902,3408,3737,2680,48.6,20909,21595,7697,13455,5.27840659340659,0
"53",5.75,5.75,5.75,5.75,5.75,4011,"Greenlee County","Arizona",5648,296,513,2117,1544,569,463,146,33,3219,2986,1310,1592,5.27840659340659,0
"54",56.55,69.198,69.198,69.248,89.598,4012,"La Paz County","Arizona",15508,1500,2230,5675,3498,1063,996,546,54.8,9365,5735,1880,3714,5.27840659340659,0
"55",42977.73,87220.61,97260.623,100521.458,104568.431,4013,"Maricopa County","Arizona",2612345,163771,181850,601685,649803,219795,508315,287126,35.6,1442518,1380959,602288,749885,5.27840659340659,16
"56",2.96,16.355,23.405,49.305,110.6,4015,"Mohave County","Arizona",150498,6978,17049,53767,43211,11705,11469,6319,49.2,80832,70328,19533,49168,5.27840659340659,3
"57",282.036,405.436,420.826,420.826,433.826,4017,"Navajo County","Arizona",67160,5029,7428,19792,19533,5481,6035,3862,35.7,34129,37465,16945,19884,5.27840659340659,0
"58",611.103,7908.947,8302.823,9018.87,9899.765,4019,"Pima County","Arizona",658596,33331,48458,150306,170505,56565,116367,83064,38,389658,383173,201251,174779,5.27840659340659,0
"59",1394.48088,4296.29888,4620.01888,4649.16388,4772.33988,4021,"Pinal County","Arizona",261865,15268,24052,78843,72625,23984,30726,16367,37.6,127599,108682,44306,62079,5.27840659340659,0
"60",0,66.16,66.16,66.16,66.16,4023,"Santa Cruz County","Arizona",29062,4185,3604,7355,5836,1681,4234,2167,36.5,15359,13911,9486,4235,5.27840659340659,0
"61",2372.246,4634.252,5131.783,5398.935,5588.375,4025,"Yavapai County","Arizona",162724,5398,11413,41724,47876,14593,26159,15561,51.3,92310,100667,33918,64468,5.27840659340659,0
"62",2278.214,4056.175,4604.22,4924.833,6084.942,4027,"Yuma County","Arizona",125410,18297,17894,31385,30695,9122,11746,6271,33.8,70639,42073,18059,23352,5.27840659340659,0
"63",23067.328,28927.046,32162.6301,36173.6034,41253.8136,6001,"Alameda County","California",1092189,78405,64184,201781,205159,73517,272700,196443,37.1,558907,595642,469684,108182,5.0788440860215,19
"64",1066.474,1122.022,1122.022,1122.022,1122.022,6005,"Amador County","California",28676,1089,2248,7748,8848,2648,4204,1891,50,13925,17649,6830,10281,5.0788440860215,0
"65",5363.79,5722.031,5722.031,5722.031,5722.031,6007,"Butte County","California",143094,6496,10696,32396,42314,14184,25062,11946,36.8,85318,90752,42669,44479,5.0788440860215,0
"66",2214.767,2356.237,2356.237,2356.237,2356.237,6009,"Calaveras County","California",33649,1006,1806,9284,11108,3427,4847,2171,50.7,18060,21786,8670,12365,5.0788440860215,0
"67",406.972,445.785,445.785,445.785,445.785,6011,"Colusa County","California",13296,2746,1485,2885,2860,1377,1519,424,34,6966,6034,2314,3601,5.0788440860215,0
"68",22251.772,26365.45,27162.0171,28362.8877,29840.9158,6013,"Contra Costa County","California",742043,42869,39295,138642,166482,60836,187160,106759,38.8,384646,438226,290824,136517,5.0788440860215,9
"69",8103.442,9110.195186,9110.195186,9110.195186,9110.195186,6017,"El Dorado County","California",128896,3591,6326,28132,36237,13259,26827,14524,44.9,67086,88774,35166,50973,5.0788440860215,5
"70",27461.191384,35968.145384,42198.089084,50499.322184,61475.618944,6019,"Fresno County","California",571585,88444,62768,130387,133595,45545,74082,36764,31.4,296305,258827,129129,124490,5.0788440860215,5
"71",687.885,1029.369,1029.369,1029.369,1029.369,6021,"Glenn County","California",17876,2234,2228,5288,4335,1132,1904,755,37.2,9497,9211,3301,5632,5.0788440860215,0
"72",884.582,935.807,935.807,935.807,935.807,6023,"Humboldt County","California",90585,2677,6595,22798,25154,8006,16774,8581,37.4,53036,57470,34457,18825,5.0788440860215,0
"73",39.01,39.01,39.01,39.01,39.01,6025,"Imperial County","California",107251,21498,14599,23440,25576,7036,10599,4503,32.2,46452,38565,25136,12777,5.0788440860215,2
"74",553.416,665.921,665.921,665.921,665.921,6027,"Inyo County","California",13236,709,929,4087,3309,1045,1942,1215,45.7,7957,8036,3422,4340,5.0788440860215,0
"75",14758.385,20969.101,20969.101,20989.131,21007.961725,6029,"Kern County","California",513437,73636,62845,139931,121118,36852,52776,26279,31.1,259700,221472,89495,126618,5.0788440860215,8
"76",2427.204,3483.559,3483.559,3483.559,3495.01309793,6031,"Kings County","California",92122,12473,13137,22855,24101,7218,8941,3397,31.4,41554,31418,12979,17671,5.0788440860215,2
"77",1350.5254,1660.7304,1660.7304,1660.7304,1660.7304,6033,"Lake County","California",46120,2583,4612,13075,13092,5398,4988,2372,45.5,26993,23391,13163,9200,5.0788440860215,2
"78",26.21,26.21,26.21,26.21,26.21,6035,"Lassen County","California",23860,1146,3638,6871,6866,2410,1925,1004,37,9707,10683,3053,7296,5.0788440860215,0
"79",61668.5388,93687.9178,102522.376633,113879.428133,130176.166403,6037,"Los Angeles County","California",6653174,885866,625644,1375647,1295086,456997,1316803,697131,35.6,3263069,3181067,2216903,885333,5.0788440860215,32
"80",3919.926,4660.969,4670.0858,4683.9074,4710.1779,6039,"Madera County","California",94739,16840,10860,23737,22557,8103,8876,3766,33.5,43159,39866,16018,22852,5.0788440860215,1
"81",8575.924,9452.06,9452.06,9452.06,9467.2531,6041,"Marin County","California",189160,7156,6302,22406,35514,12279,59435,46068,45.4,103670,134516,99896,30880,5.0788440860215,6
"82",395.5,488.134,488.134,488.134,488.134,6043,"Mariposa County","California",13687,316,1121,3903,4173,1150,1889,1135,50.6,7345,9000,3498,5140,5.0788440860215,0
"83",1915.364,2180.107,2180.107,2180.107,2180.107,6045,"Mendocino County","California",61297,3753,4353,16229,17745,4718,9648,4851,42.2,34017,35017,23193,9658,5.0788440860215,2
"84",2580.368,2915.328,2915.328,2915.328,2915.328,6047,"Merced County","California",152405,31057,17902,37870,34225,11417,13248,6686,30.4,77692,62057,33005,27581,5.0788440860215,0
"85",143.036,159.606,159.606,159.606,159.606,6051,"Mono County","California",9690,890,575,1626,2690,777,2243,889,38.5,4906,5181,2733,2285,5.0788440860215,0
"86",6636.473437,7580.352437,9221.642737,12726.405587,19135.407087,6053,"Monterey County","California",268809,51797,26903,55869,51047,21028,38266,23899,33.5,125402,123518,82920,37390,5.0788440860215,4
"87",5452.4775,6234.4855,6234.4855,6234.4855,6243.2974,6055,"Napa County","California",96568,10012,6213,18619,21662,8742,20811,10509,40.3,49494,56968,35870,19526,5.0788440860215,2
"88",3742.058,4230.632,4230.632,4230.632,4230.632,6057,"Nevada County","California",73917,1476,3037,14935,21683,7894,16003,8889,49,40993,51676,24663,24986,5.0788440860215,2
"89",28703.49,37478.684631,37614.1129643,37677.22479763,37737.57778102,6059,"Orange County","California",2077783,182478,144383,367556,436584,162649,506749,277384,37.1,1009353,1122664,512440,582332,5.0788440860215,21
"90",14220.416,16797.004343,16797.004343,16797.004343,16797.004343,6061,"Placer County","California",252156,5681,9225,48923,67672,28774,61722,30159,41,135456,171322,66818,99921,5.0788440860215,1
"91",161.783,177.623,177.623,177.623,177.623,6063,"Plumas County","California",14470,443,927,3457,4796,1670,1929,1248,51.3,8217,10047,4026,5721,5.0788440860215,1
"92",32894.565,42903.303,44374.523667,46133.4975,49615.36032,6065,"Riverside County","California",1441999,137897,149249,372314,370287,110479,192721,109052,34.5,699232,661907,329063,318127,5.0788440860215,13
"93",290.774,5619.205532,5619.205532,5619.205532,5619.205532,6067,"Sacramento County","California",962874,64429,64210,214444,249513,92923,184008,93347,35.5,522596,516809,300503,202514,5.0788440860215,33
"94",1178.233,1249.589,1249.589,1249.589,1249.589,6069,"San Benito County","California",36178,4952,3001,8834,9348,3170,4834,2039,35,17198,19044,11276,7343,5.0788440860215,0
"95",22862.771,34038.664,40693.760167,51896.451127,67880.172067,6071,"San Bernardino County","California",1277155,125753,148027,334992,322765,103401,156673,85544,32.5,614325,581517,305109,262358,5.0788440860215,6
"96",97806.285158,132351.454438,178171.568368,257149.813048,392390.432548,6073,"San Diego County","California",2128434,153167,143853,404243,477626,189239,470339,289967,35.1,1094157,1192282,626957,536726,5.0788440860215,16
"97",11949.155,15679.243,18175.222,20422.713449,22500.299749,6075,"San Francisco County","California",659772,53643,31928,83938,98576,36526,215189,139972,38.5,353287,361209,301723,47076,5.0788440860215,17
"98",6985.795,8595.342,8595.342,8595.342,8595.342,6077,"San Joaquin County","California",435702,50964,44884,115214,104127,40492,54524,25497,33.5,219073,204697,114121,86071,5.0788440860215,1
"99",7373.044,7996.419,7996.419,7996.419,8009.5126,6079,"San Luis Obispo County","California",182629,8301,10432,36007,50182,17460,38026,22221,39.3,103576,125638,61258,59967,5.0788440860215,3
"100",18318.097106,21513.506106,25379.651706,29617.488606,35460.634927,6081,"San Mateo County","California",530221,34784,27104,87673,98978,39781,143912,97989,39.5,259711,285720,206085,72756,5.0788440860215,4
"101",6156.583,7042.944,7054.494,7054.494,7064.1003,6083,"Santa Barbara County","California",268017,33555,21090,47489,58351,21308,51447,34777,33.6,142713,163320,94129,64606,5.0788440860215,8
"102",41522.476521,50804.150823,53730.378933,57042.244041,60453.541667,6085,"Santa Clara County","California",1268629,89994,75235,192414,212282,90475,330869,277360,36.8,621463,643091,450818,174843,5.0788440860215,11
"103",7413.738,7809.85,7809.85,7809.85,7833.528,6087,"Santa Cruz County","California",173902,15692,9344,26933,39405,16020,40356,26152,37,94802,120095,90805,24047,5.0788440860215,3
"104",2340.121,2569.852,2569.852,2569.852,2569.852,6089,"Shasta County","California",124396,3411,9935,32128,39916,14612,15910,8484,42.2,69375,76335,25819,48067,5.0788440860215,0
"105",7.408,12.448,12.448,12.448,12.448,6091,"Sierra County","California",2435,58,121,839,628,330,360,99,54.5,1252,1795,653,1056,5.0788440860215,1
"106",0,53.292,53.292,53.292,53.292,6093,"Siskiyou County","California",31835,1192,2490,7920,9807,3202,4922,2302,47.8,19133,19910,8046,11077,5.0788440860215,0
"107",4351.006,5205.0467296,5235.0052296,5495.7894296,5989.7185296,6095,"Solano County","California",284771,16887,18763,67847,82538,27742,50060,20934,37.3,143612,152444,96783,52092,5.0788440860215,0
"108",20286.182,21624.862,21624.862,21630.972,21630.972,6097,"Sonoma County","California",346159,23157,21340,68879,86938,31985,73923,39937,40.8,187782,216508,153942,54784,5.0788440860215,11
"109",1903.201,2429.141,2429.141,2429.141,2429.141,6099,"Stanislaus County","California",327571,40946,33620,92806,81606,24612,36060,17921,33.5,169196,155369,77724,73459,5.0788440860215,2
"110",1898.353,2080.118,2080.118,2080.118,2080.118,6101,"Sutter County","California",60812,7020,6068,15089,15449,6453,7354,3379,35.4,31917,31026,12192,18122,5.0788440860215,0
"111",1236.364,1833.102,1833.102,1833.102,1833.102,6103,"Tehama County","California",42760,3023,4534,13063,12567,3410,4105,2058,40.5,23704,22977,7934,14235,5.0788440860215,0
"112",12.91,18.03,18.03,18.03,18.03,6105,"Trinity County","California",10320,257,691,3203,3122,986,1545,516,50.3,5484,5674,2674,2716,5.0788440860215,0
"113",7735.798,11091.22,11091.22,11108.72,11108.72,6107,"Tulare County","California",260964,54163,28331,65844,58202,18356,24805,11263,30.3,133570,101100,41752,56956,5.0788440860215,5
"114",1468.328,1604.855,1604.855,1604.855,1604.855,6109,"Tuolumne County","California",40871,874,3110,12119,12645,3775,5611,2737,48.6,22133,24687,9998,13880,5.0788440860215,2
"115",11976.6,16221.19,16467.2695,16534.31916667,16563.67181352,6111,"Ventura County","California",550767,54418,38482,104471,130484,48229,110073,64610,37.1,268969,326974,170929,147958,5.0788440860215,4
"116",5076.02,6108.866215,6129.796215,6153.181215,6193.498215,6113,"Yolo County","California",120693,9336,8172,23773,24224,8149,23810,23229,30.9,71997,74475,48715,23368,5.0788440860215,3
"117",1454.285,1692.014,1692.014,1692.014,1692.014,6115,"Yuba County","California",45152,3668,4990,11277,14150,4594,4455,2018,32.1,25139,19700,7711,11275,5.0788440860215,0
"118",256.8,643.145,643.145,643.145,643.145,8001,"Adams County","Colorado",296842,23272,29392,85424,67935,24872,45040,20907,33,156628,176230,100649,70972,4.66442307692308,4
"119",604.125,1376.925,1418.235,1418.235,1418.235,8005,"Arapahoe County","Colorado",405311,14605,17962,82685,93422,34268,105400,56969,36.1,229601,285516,153905,125588,4.66442307692308,3
"120",577.134,780.324,785.224,785.224,785.224,8013,"Boulder County","Colorado",198949,5343,6354,25364,33090,11618,63290,53890,35.8,122516,179499,125091,49981,4.66442307692308,4
"121",111.32,237.57,237.57,237.57,237.57,8014,"Broomfield County","Colorado",40880,856,917,6010,8437,3456,13421,7783,37.5,23531,32777,16966,15008,4.66442307692308,1
"122",0,0,11.52,11.52,11.52,8029,"Delta County","Colorado",21764,758,1654,8170,5164,1665,2769,1584,47.3,12058,15925,4622,10915,4.66442307692308,1
"123",242.765,620.255,673.29,673.29,673.29,8031,"Denver County","Colorado",455409,30849,32391,80415,83164,23868,124473,80249,34.1,275795,301694,222018,73111,4.66442307692308,20
"124",266.6,803.465,829.545,829.545,829.545,8035,"Douglas County","Colorado",197863,1419,3171,25496,39747,16034,74754,37242,37.6,111113,168084,61094,104397,4.66442307692308,4
"125",0.45,9.76,9.76,9.76,9.76,8037,"Eagle County","Colorado",36139,2193,1734,6454,5910,2955,12589,4304,35.6,17840,22668,12792,9411,4.66442307692308,0
"126",11.04,11.04,11.04,24.59,24.59,8041,"El Paso County","Colorado",414724,8191,17529,87190,106458,46616,90952,57788,33.6,245287,290175,111819,170952,4.66442307692308,4
"127",9.75,30.53,30.53,30.53,30.53,8045,"Garfield County","Colorado",37456,2191,3100,9769,8452,2830,7327,3787,35.9,20622,24408,11305,12535,4.66442307692308,0
"128",3.24,3.24,8.74,8.74,8.74,8049,"Grand County","Colorado",10462,143,436,2668,2386,1018,2817,994,42.5,5250,8187,3684,4253,4.66442307692308,0
"129",722.826,1507.286,1564.266,1580.411,1580.411,8059,"Jefferson County","Colorado",388427,6932,16336,82819,87892,32754,102362,59332,40.4,222892,311052,159296,144197,4.66442307692308,12
"130",14.935,143.345,143.345,143.345,143.345,8069,"Larimer County","Colorado",205285,3205,6464,38918,47477,18339,56583,34299,35.5,125138,180180,92747,82376,4.66442307692308,3
"131",97.34,905.735,1218.8,1218.8,1218.8,8077,"Mesa County","Colorado",99217,3048,6944,28914,25474,8773,17560,8504,38.4,59215,72947,23846,47472,4.66442307692308,2
"132",0,0,5.76,5.76,5.76,8085,"Montrose County","Colorado",28760,1696,1931,9081,7015,1995,4409,2633,44.2,16768,20130,6138,13552,4.66442307692308,1
"133",0,9.75,9.75,9.75,9.75,8093,"Park County","Colorado",12524,208,325,3197,3852,1284,2561,1097,49.4,7319,9366,3862,5236,4.66442307692308,0
"134",1.9,17.65,17.65,17.65,17.65,8097,"Pitkin County","Colorado",13284,242,405,1522,2343,924,5606,2242,43.4,7570,10075,6849,3024,4.66442307692308,0
"135",0,13.68,21.36,21.36,21.36,8101,"Pueblo County","Colorado",108247,4621,8414,31411,28005,12392,14864,8540,38.8,62888,76194,42551,31894,4.66442307692308,1
"136",2.04,2.04,2.04,2.04,2.04,8113,"San Miguel County","Colorado",5751,55,261,1033,1040,264,2284,814,40.7,3310,4256,2992,1154,4.66442307692308,0
"137",9.62,18.98,24.74,24.74,24.74,8117,"Summit County","Colorado",21453,766,355,3693,4514,1655,6939,3531,37.1,10143,15312,9347,5571,4.66442307692308,2
"138",262.535,486.2,486.2,486.2,486.2,8123,"Weld County","Colorado",169668,9538,12989,45759,42090,15017,30277,13998,33.9,94294,115866,49050,63775,4.66442307692308,1
"139",1841.046,2232.851,2902.181,3497.974,5337.594,9001,"Fairfield County","Connecticut",634872,32517,33101,143485,97573,37348,162883,127965,39.7,334320,396130,217294,175168,3.685,2
"140",1568.82,1947.17,2703.266,4406.182,10844.177,9003,"Hartford County","Connecticut",618464,28945,39821,167890,108799,48350,126856,97803,40.1,346362,392240,244639,143238,3.685,9
"141",1530.746,1692.3,1899.855,2452.05,3620.76,9005,"Litchfield County","Connecticut",135358,4126,7504,39720,26358,12193,26350,19107,46,74518,92427,43856,47201,3.685,3
"142",1042.63,1535.711,2247.566,2568.251,4042.656,9007,"Middlesex County","Connecticut",118409,2643,4765,31702,20885,10367,26277,21770,44.2,66117,83538,47855,34591,3.685,1
"143",1761.377,2042.582,2478.707,3211.377,6188.377,9009,"New Haven County","Connecticut",591088,26688,37598,178585,104209,43022,108647,92339,39.8,326028,361059,218998,138364,3.685,5
"144",1647.1125,1912.0425,2120.0875,2490.5075,4034.6975,9011,"New London County","Connecticut",188870,5543,10947,58882,37282,15498,33415,27303,40.7,106495,115102,67144,46119,3.685,0
"145",949.032,1071.192,1328.037,1820.522,2649.152,9013,"Tolland County","Connecticut",95408,2006,4214,26140,17624,9128,20417,15879,38.1,54467,70991,39366,30450,3.685,4
"146",806.74,972.495,1153.295,1409.367,2304.097,9015,"Windham County","Connecticut",80386,3257,6182,27569,17399,7383,11156,7440,40.4,44276,46588,25957,19768,3.685,0
"147",5193.663998,9247.639993,9878.785993,9878.785993,9878.785993,11001,"District of Columbia","District of Columbia",453952,19376,29054,81697,62033,14040,105880,141872,33.7,273390,293764,267070,21381,NA,59
"148",1429.643,1771.743,2232.723,2716.843,3546.823,10001,"Kent County","Delaware",110480,4526,10553,37024,24068,9411,15582,9316,37,60571,68680,35527,32135,NA,2
"149",4697.134,5640.792,6562.935,8294.135,12094.6725,10003,"New Castle County","Delaware",369089,12709,23630,105702,72552,25185,76154,53157,37.5,202268,252012,167082,81230,NA,3
"150",4445.48,5816.8,7626.785,9923.135,12795.846,10005,"Sussex County","Delaware",151549,7730,14225,53510,27923,13008,20405,14748,47,81183,93229,39975,52119,NA,1
"151",1691.736,2009.579,2167.724,2292.782,2411.233,12001,"Alachua County","Florida",151184,3938,7307,32564,28743,15790,32553,30289,30.8,96703,120418,69699,48797,4.69636363636364,0
"152",11.208,11.208,11.208,11.208,11.208,12003,"Baker County","Florida",17786,970,2293,7795,3475,1210,1329,714,36.6,8205,11368,2311,8975,4.69636363636364,0
"153",12.725,12.725,12.725,12.725,12.725,12005,"Bay County","Florida",121739,4364,10246,37305,29511,13266,17521,9526,39.8,67922,79861,22051,56876,4.69636363636364,1
"154",234.805,234.805,234.805,234.805,234.805,12009,"Brevard County","Florida",405195,11310,26555,116588,94000,46051,68348,42343,46.6,222791,285559,122993,159300,4.69636363636364,4
"155",408.105,413.225,413.225,413.225,413.225,12011,"Broward County","Florida",1286262,66265,85308,355578,258463,124220,254359,142069,40,670284,756422,508312,244101,4.69636363636364,10
"156",4.95,4.95,4.95,4.95,4.95,12013,"Calhoun County","Florida",10326,929,1627,3868,2285,530,844,243,40.5,4784,6152,1664,4366,4.69636363636364,0
"157",180.248,180.248,180.248,180.248,180.248,12015,"Charlotte County","Florida",134210,4188,10135,46848,33098,12037,17598,10306,57.3,71856,84682,35906,47996,4.69636363636364,2
"158",112.928,112.928,112.928,112.928,112.928,12017,"Citrus County","Florida",110144,3778,10945,42038,25855,8868,12182,6478,55.4,61012,73935,28460,44662,4.69636363636364,0
"159",39.98,39.98,39.98,39.98,39.98,12019,"Clay County","Florida",131378,3963,8748,40295,32430,14725,22003,9214,39,69053,96589,25759,70022,4.69636363636364,0
